image_path,class_id,label_name
C:\Users\DELL\Downloads\ai_major\myData\0\0_10000_1577671998.6491628.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10001_1577671998.65016.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10002_1577671998.65016.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10003_1577671998.651159.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10004_1577671998.6521559.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10005_1577671998.6531546.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10006_1577671998.6541514.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10007_1577671998.6541514.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10008_1577671998.6551478.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10009_1577671998.656145.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10010_1577671998.6571581.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10011_1577671998.6571581.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10012_1577671998.658139.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10013_1577671998.659136.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10014_1577671998.659136.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10015_1577671998.6601334.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10016_1577671998.6611307.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10017_1577671998.6611307.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10018_1577671998.6621292.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10019_1577671998.6631255.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10020_1577671998.6641226.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10021_1577671998.6641226.png,0,Speed limit (20km/h)
C:\Users\DELL\Downloads\ai_major\myData\0\0_10022_1577671998.66512.png,0,Speed limit (20km/h)
